11:52:48 | root | INFO MainMenu: start running
11:52:49 | root | INFO MainMenu: PLAY
11:52:49 | root | INFO Player created!
11:52:49 | root | DEBUG add Player movement
11:52:49 | root | DEBUG size_x: 73
11:52:49 | root | DEBUG size_y: 201
11:52:49 | root | INFO GameStart: render again
11:52:49 | root | INFO Level2 | start run
11:53:12 | root | INFO MainMenu: start running
11:53:12 | root | INFO MainMenu: PLAY
11:53:12 | root | INFO Player created!
11:53:12 | root | DEBUG add Player movement
11:53:12 | root | DEBUG size_x: 73
11:53:12 | root | DEBUG size_y: 201
11:53:12 | root | INFO GameStart: render again
11:53:12 | root | INFO Level2 | start run
11:53:18 | root | INFO MainMenu: start running
11:53:19 | root | INFO MainMenu: PLAY
11:53:19 | root | INFO Player created!
11:53:19 | root | DEBUG add Player movement
11:53:19 | root | DEBUG size_x: 73
11:53:19 | root | DEBUG size_y: 201
11:53:19 | root | INFO GameStart: render again
11:53:19 | root | INFO Level2 | start run
11:53:22 | root | DEBUG spawn enemy
11:53:26 | root | DEBUG spawn enemy
11:53:28 | root | INFO player got hit! for 1 hp ( 9/10left )
11:53:28 | root | INFO 0.010201
11:53:29 | root | INFO 0.011022
11:53:30 | root | DEBUG spawn enemy
11:53:34 | root | DEBUG spawn enemy
11:53:34 | root | INFO Change screen!
11:53:34 | root | INFO GameStart: render again
11:53:34 | root | ERROR Backup: updating without a item to run!
11:53:36 | root | INFO MainMenu: start running
11:53:41 | root | INFO MainMenu: QUITING
11:53:46 | root | INFO MainMenu: start running
11:53:53 | root | INFO MainMenu: PLAY
11:53:53 | root | INFO Player created!
11:53:53 | root | DEBUG add Player movement
11:53:53 | root | DEBUG size_x: 73
11:53:53 | root | DEBUG size_y: 201
11:53:53 | root | INFO GameStart: render again
11:53:53 | root | INFO Level2 | start run
11:53:57 | root | DEBUG spawn enemy
11:53:59 | root | INFO 0.010874
11:54:01 | root | DEBUG spawn enemy
11:54:02 | root | INFO 0.010402
11:54:05 | root | DEBUG spawn enemy
11:54:06 | root | INFO 0.010027
11:54:07 | root | INFO player got hit! for 1 hp ( 9/10left )
11:54:09 | root | DEBUG spawn enemy
11:54:09 | root | INFO player got hit! for 1 hp ( 8/10left )
11:54:10 | root | INFO 0.010006
11:54:13 | root | DEBUG spawn enemy
11:54:14 | root | INFO player got hit! for 1 hp ( 7/10left )
11:54:16 | root | DEBUG spawn enemy
11:54:20 | root | INFO player got hit! for 1 hp ( 6/10left )
11:54:20 | root | INFO player got hit! for 1 hp ( 5/10left )
11:54:20 | root | DEBUG spawn enemy
11:54:22 | root | INFO Change screen!
11:54:22 | root | INFO GameStart: render again
11:54:22 | root | ERROR Backup: updating without a item to run!
11:54:48 | root | INFO MainMenu: start running
11:54:48 | root | INFO MainMenu: PLAY
11:54:48 | root | INFO Player created!
11:54:48 | root | DEBUG add Player movement
11:54:48 | root | DEBUG size_x: 73
11:54:48 | root | DEBUG size_y: 201
11:54:48 | root | INFO GameStart: render again
11:54:48 | root | INFO Level2 | start run
11:54:49 | root | INFO Change screen!
11:54:49 | root | INFO GameStart: render again
11:54:49 | root | ERROR Backup: updating without a item to run!
11:54:54 | root | INFO MainMenu: start running
11:54:54 | root | INFO MainMenu: PLAY
11:54:54 | root | INFO Player created!
11:54:54 | root | DEBUG add Player movement
11:54:54 | root | DEBUG size_x: 73
11:54:54 | root | DEBUG size_y: 201
11:54:54 | root | INFO GameStart: render again
11:54:54 | root | INFO Level2 | start run
11:54:55 | root | INFO Change screen!
11:54:55 | root | INFO GameStart: render again
11:54:55 | root | ERROR Backup: updating without a item to run!
11:55:50 | root | INFO MainMenu: start running
